device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag
4319,0,1762298462,1762298462,0,0
4319,1,1762298463,1762298463,0,0
4319,2,1762298464,1762298464,0,0
4319,3,1762298465,1762298465,0,0
4319,4,1762298466,1762298466,0,0
4319,5,1762298467,1762298467,0,0
4319,6,1762298468,1762298468,0,0
4319,7,1762298469,1762298469,0,0
4319,8,1762298470,1762298470,0,0
4319,9,1762298471,1762298471,0,0
5131,0,1762298472,1762298472,0,0
5131,1,1762298473,1762298473,0,0
5131,2,1762298474,1762298474,0,0
5131,3,1762298475,1762298475,0,0
5131,4,1762298476,1762298476,0,0
5131,5,1762298477,1762298477,0,0
5131,6,1762298478,1762298478,0,0
5131,7,1762298479,1762298479,0,0
5131,8,1762298480,1762298480,0,0
3362,0,1762298482,1762298482,0,0
3362,1,1762298482,1762298482,0,0
3362,2,1762298483,1762298483,0,0
3362,3,1762298483,1762298483,0,0
3362,4,1762298483,1762298483,0,0
3362,5,1762298483,1762298483,0,0
3362,6,1762298483,1762298483,0,0
3362,7,1762298483,1762298483,0,0
3362,8,1762298483,1762298483,0,0
3362,9,1762298483,1762298483,0,0
