device_id,seq,timestamp,arrival_time,duplicate_flag,gap_flag,heartbeat_flag,offline_flag
8886,0,1766598543,1766598543,0,0,0,1
8886,1,1766598544,1766598544,0,0,0,1
8886,2,1766598545,1766598545,0,0,0,1
8886,3,1766598546,1766598546,0,0,0,1
8886,4,1766598547,1766598547,0,0,0,1
8886,5,1766598548,1766598548,0,0,1,0
8886,5,1766598548,1766598548,0,0,0,0
8886,6,1766598549,1766598549,0,0,0,0
8886,7,1766598550,1766598550,0,0,0,0
8886,8,1766598551,1766598551,0,0,0,0
8886,9,1766598552,1766598552,0,0,0,0
8886,10,1766598553,1766598553,0,0,1,0
8886,10,1766598553,1766598553,0,0,0,0
8886,11,1766598554,1766598554,0,0,0,0
8886,12,1766598555,1766598555,0,0,0,0
8886,13,1766598556,1766598556,0,0,0,0
8886,14,1766598557,1766598557,0,0,0,0
8886,15,1766598558,1766598558,0,0,1,0
8886,15,1766598558,1766598558,0,0,0,0
8886,16,1766598559,1766598559,0,0,0,0
8886,17,1766598560,1766598560,0,0,0,0
8886,18,1766598561,1766598561,0,0,0,0
8886,19,1766598562,1766598562,0,0,0,0
8886,20,1766598563,1766598563,0,0,1,0
